%time,field.header.seq,field.header.stamp,field.header.frame_id
11985274000000,83,11985254000000,
11985455000000,84,11985455000000,
11985654000000,85,11985654000000,
11985854000000,86,11985854000000,
11986055000000,87,11986054000000,
11986254000000,88,11986254000000,
11986454000000,89,11986454000000,
11986654000000,90,11986654000000,
11986854000000,91,11986854000000,
11987054000000,92,11987054000000,
11987255000000,93,11987254000000,
11987455000000,94,11987454000000,
11987654000000,95,11987654000000,
11987854000000,96,11987854000000,
11988054000000,97,11988054000000,
11988254000000,98,11988254000000,
11988454000000,99,11988454000000,
11988654000000,100,11988654000000,
11988854000000,101,11988854000000,
11989054000000,102,11989054000000,
11989254000000,103,11989254000000,
11989454000000,104,11989454000000,
11989654000000,105,11989654000000,
11989854000000,106,11989854000000,
11990054000000,107,11990054000000,
11990254000000,108,11990254000000,
11990454000000,109,11990454000000,
11990654000000,110,11990654000000,
11990854000000,111,11990854000000,
11991054000000,112,11991054000000,
11991254000000,113,11991254000000,
11991455000000,114,11991455000000,
11991654000000,115,11991654000000,
11991856000000,116,11991856000000,
11992054000000,117,11992054000000,
11992255000000,118,11992255000000,
11992454000000,119,11992454000000,
11992655000000,120,11992654000000,
11992855000000,121,11992854000000,
11993054000000,122,11993054000000,
11993254000000,123,11993254000000,
11993455000000,124,11993455000000,
11993655000000,125,11993655000000,
11993854000000,126,11993854000000,
11994054000000,127,11994054000000,
11994254000000,128,11994254000000,
11994455000000,129,11994454000000,
11994656000000,130,11994656000000,
11994854000000,131,11994854000000,
11995054000000,132,11995054000000,
11995255000000,133,11995254000000,
11995454000000,134,11995454000000,
11995654000000,135,11995654000000,
11995854000000,136,11995854000000,
11996054000000,137,11996054000000,
11996254000000,138,11996254000000,
11996455000000,139,11996455000000,
11996655000000,140,11996655000000,
11996854000000,141,11996854000000,
11997054000000,142,11997054000000,
11997254000000,143,11997254000000,
11997454000000,144,11997454000000,
11997654000000,145,11997654000000,
11997734000000,146,11997733000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
11997854000000,147,11997854000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
11998054000000,148,11998054000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
11998254000000,149,11998254000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
11998454000000,150,11998454000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
11998654000000,151,11998654000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
11998854000000,152,11998854000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
11999054000000,153,11999054000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
11999254000000,154,11999254000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
11999455000000,155,11999454000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
11999654000000,156,11999654000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
11999855000000,157,11999855000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
12000057000000,158,12000057000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
12000254000000,159,12000254000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
12000454000000,160,12000454000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
12000656000000,161,12000656000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
12000854000000,162,12000854000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
12001054000000,163,12001054000000,,11997733000000,/move_base-1-11997.733000000,1,This goal has been accepted by the simple action server
