%time,field.header.seq,field.header.stamp,field.header.frame_id
11976178000000,88,11976004000000,
11976204000000,89,11976204000000,
11976404000000,90,11976404000000,
11976604000000,91,11976604000000,
11976804000000,92,11976804000000,
11977004000000,93,11977004000000,
11977205000000,94,11977205000000,
11977404000000,95,11977404000000,
11977604000000,96,11977604000000,
11977805000000,97,11977805000000,
11978004000000,98,11978004000000,
11978205000000,99,11978204000000,
11978404000000,100,11978404000000,
11978604000000,101,11978604000000,
11978805000000,102,11978805000000,
11979004000000,103,11979004000000,
11979204000000,104,11979204000000,
11979404000000,105,11979404000000,
11979604000000,106,11979604000000,
11979804000000,107,11979804000000,
11980004000000,108,11980004000000,
11980205000000,109,11980205000000,
11980404000000,110,11980404000000,
11980604000000,111,11980604000000,
11980805000000,112,11980805000000,
11981004000000,113,11981004000000,
11981204000000,114,11981204000000,
11981404000000,115,11981404000000,
11981605000000,116,11981604000000,
11981804000000,117,11981804000000,
11982004000000,118,11982004000000,
11982204000000,119,11982204000000,
11982404000000,120,11982404000000,
11982604000000,121,11982604000000,
11982804000000,122,11982804000000,
11983005000000,123,11983004000000,
11983204000000,124,11983204000000,
11983405000000,125,11983404000000,
11983604000000,126,11983604000000,
11983804000000,127,11983804000000,
11984004000000,128,11984004000000,
11984204000000,129,11984204000000,
11984404000000,130,11984404000000,
11984604000000,131,11984604000000,
11984804000000,132,11984804000000,
11985004000000,133,11985004000000,
11985204000000,134,11985204000000,
11985404000000,135,11985404000000,
11985604000000,136,11985604000000,
11985804000000,137,11985804000000,
11986004000000,138,11986004000000,
11986204000000,139,11986204000000,
11986404000000,140,11986404000000,
11986604000000,141,11986604000000,
11986804000000,142,11986804000000,
11987002000000,143,11987004000000,
11987204000000,144,11987204000000,
11987404000000,145,11987404000000,
11987604000000,146,11987604000000,
11987804000000,147,11987804000000,
11988004000000,148,11988004000000,
11988206000000,149,11988205000000,
11988404000000,150,11988404000000,
11988604000000,151,11988604000000,
11988804000000,152,11988804000000,
11989004000000,153,11989004000000,
11989204000000,154,11989204000000,
11989404000000,155,11989404000000,
11989604000000,156,11989604000000,
11989804000000,157,11989804000000,
11990004000000,158,11990004000000,
11990204000000,159,11990204000000,
11990404000000,160,11990404000000,
11990604000000,161,11990604000000,
11990804000000,162,11990804000000,
11991008000000,163,11991008000000,
11991204000000,164,11991204000000,
11991404000000,165,11991404000000,
11991604000000,166,11991604000000,
11991804000000,167,11991804000000,
11992005000000,168,11992004000000,
11992204000000,169,11992204000000,
11992404000000,170,11992404000000,
11992604000000,171,11992604000000,
11992804000000,172,11992804000000,
11993004000000,173,11993004000000,
11993204000000,174,11993204000000,
11993405000000,175,11993404000000,
11993604000000,176,11993604000000,
11993805000000,177,11993805000000,
11994004000000,178,11994004000000,
11994204000000,179,11994204000000,
11994404000000,180,11994404000000,
11994604000000,181,11994604000000,
11994804000000,182,11994804000000,
11995004000000,183,11995004000000,
11995204000000,184,11995204000000,
11995404000000,185,11995404000000,
11995604000000,186,11995604000000,
11995804000000,187,11995804000000,
11996004000000,188,11996004000000,
11996204000000,189,11996204000000,
11996404000000,190,11996404000000,
11996604000000,191,11996604000000,
11996804000000,192,11996804000000,
11997004000000,193,11997004000000,
11997205000000,194,11997204000000,
11997404000000,195,11997404000000,
11997604000000,196,11997604000000,
11997805000000,197,11997804000000,
11998004000000,198,11998004000000,
11998204000000,199,11998204000000,
11998405000000,200,11998404000000,
11998604000000,201,11998604000000,
11998804000000,202,11998804000000,
11999004000000,203,11999004000000,
11999204000000,204,11999204000000,
11999404000000,205,11999404000000,
11999604000000,206,11999604000000,
11999805000000,207,11999805000000,
12000004000000,208,12000004000000,
12000204000000,209,12000204000000,
12000404000000,210,12000404000000,
12000604000000,211,12000604000000,
12000804000000,212,12000804000000,
12001004000000,213,12001004000000,
12001204000000,214,12001204000000,
12001404000000,215,12001404000000,
12001604000000,216,12001604000000,
12001805000000,217,12001805000000,
12002004000000,218,12002004000000,
12002204000000,219,12002204000000,
12002404000000,220,12002404000000,
12002604000000,221,12002604000000,
12002804000000,222,12002804000000,
12003004000000,223,12003004000000,
12003206000000,224,12003204000000,
12003296000000,225,12003296000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12003404000000,226,12003404000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12003604000000,227,12003604000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12003804000000,228,12003804000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12004004000000,229,12004004000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12004204000000,230,12004204000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12004404000000,231,12004404000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12004604000000,232,12004604000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12004804000000,233,12004804000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12005004000000,234,12005004000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12005204000000,235,12005204000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12005405000000,236,12005404000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12005604000000,237,12005604000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12005804000000,238,12005804000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12006004000000,239,12006004000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12006204000000,240,12006204000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12006405000000,241,12006405000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12006604000000,242,12006604000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12006804000000,243,12006804000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12007005000000,244,12007005000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12007204000000,245,12007204000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12007404000000,246,12007404000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12007604000000,247,12007604000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12007805000000,248,12007805000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12008004000000,249,12008004000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12008204000000,250,12008204000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12008404000000,251,12008404000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12008605000000,252,12008605000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12008804000000,253,12008804000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12009004000000,254,12009004000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12009204000000,255,12009204000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12009404000000,256,12009404000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12009604000000,257,12009604000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12009805000000,258,12009804000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12010005000000,259,12010004000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12010205000000,260,12010205000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12010406000000,261,12010406000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12010604000000,262,12010604000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12010804000000,263,12010804000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12011004000000,264,12011004000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12011205000000,265,12011205000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12011404000000,266,12011404000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12011604000000,267,12011604000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12011804000000,268,12011804000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12012004000000,269,12012004000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12012204000000,270,12012204000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12012404000000,271,12012404000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12012604000000,272,12012604000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12012804000000,273,12012804000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12013005000000,274,12013004000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12013205000000,275,12013204000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12013404000000,276,12013404000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12013604000000,277,12013604000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12013804000000,278,12013804000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12014004000000,279,12014004000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12014204000000,280,12014204000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12014405000000,281,12014405000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12014604000000,282,12014604000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12014804000000,283,12014804000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12015006000000,284,12015006000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
12015204000000,285,12015204000000,,12003296000000,/move_base-1-12003.296000000,1,This goal has been accepted by the simple action server
