%time,field.header.seq,field.header.stamp,field.header.frame_id
437296000000,256,437273000000,
437473000000,257,437473000000,
437673000000,258,437673000000,
437874000000,259,437873000000,
438073000000,260,438073000000,
438273000000,261,438273000000,
438473000000,262,438473000000,
438673000000,263,438673000000,
438873000000,264,438873000000,
439073000000,265,439073000000,
439273000000,266,439273000000,
439473000000,267,439473000000,
439673000000,268,439673000000,
439873000000,269,439873000000,
440073000000,270,440073000000,
440274000000,271,440274000000,
440473000000,272,440473000000,
440673000000,273,440673000000,
440873000000,274,440873000000,
441073000000,275,441073000000,
441273000000,276,441273000000,
441473000000,277,441473000000,
441673000000,278,441673000000,
441873000000,279,441873000000,
442073000000,280,442073000000,
442273000000,281,442273000000,
442473000000,282,442473000000,
442673000000,283,442673000000,
442874000000,284,442874000000,
443073000000,285,443073000000,
443273000000,286,443273000000,
443473000000,287,443473000000,
443673000000,288,443673000000,
443873000000,289,443873000000,
444073000000,290,444073000000,
444273000000,291,444273000000,
444473000000,292,444473000000,
444673000000,293,444673000000,
444876000000,294,444876000000,
445073000000,295,445073000000,
445273000000,296,445273000000,
445475000000,297,445475000000,
445673000000,298,445673000000,
445873000000,299,445873000000,
446073000000,300,446073000000,
446273000000,301,446273000000,
446474000000,302,446474000000,
446673000000,303,446673000000,
446873000000,304,446873000000,
447073000000,305,447073000000,
447273000000,306,447273000000,
447473000000,307,447473000000,
447673000000,308,447673000000,
447873000000,309,447873000000,
448073000000,310,448073000000,
448273000000,311,448273000000,
448473000000,312,448473000000,
448673000000,313,448673000000,
448873000000,314,448873000000,
449077000000,315,449074000000,
449273000000,316,449273000000,
449476000000,317,449476000000,
449673000000,318,449673000000,
449873000000,319,449873000000,
450073000000,320,450073000000,
450273000000,321,450273000000,
450473000000,322,450473000000,
450533000000,323,450532000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
450673000000,324,450673000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
450874000000,325,450873000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
451073000000,326,451073000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
451274000000,327,451274000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
451473000000,328,451473000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
451673000000,329,451673000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
451874000000,330,451874000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
452073000000,331,452073000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
452273000000,332,452273000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
452473000000,333,452473000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
452673000000,334,452673000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
452874000000,335,452873000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
453073000000,336,453073000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
453274000000,337,453273000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
453474000000,338,453474000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
453674000000,339,453674000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
453873000000,340,453873000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
454073000000,341,454073000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
454273000000,342,454273000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
454473000000,343,454473000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
454673000000,344,454673000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
454873000000,345,454873000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
455073000000,346,455073000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
455273000000,347,455273000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
455473000000,348,455473000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
455673000000,349,455673000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
455873000000,350,455873000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
456073000000,351,456073000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
456273000000,352,456273000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
456473000000,353,456473000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
456673000000,354,456673000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
456873000000,355,456873000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
457073000000,356,457073000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
457276000000,357,457275000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
457473000000,358,457473000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
457673000000,359,457673000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
457874000000,360,457874000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
458074000000,361,458073000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
458277000000,362,458276000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
458478000000,363,458478000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
458673000000,364,458673000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
458873000000,365,458873000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
459074000000,366,459073000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
459273000000,367,459273000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
459473000000,368,459473000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
459673000000,369,459673000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
459873000000,370,459873000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
460073000000,371,460073000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
460273000000,372,460273000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
460474000000,373,460473000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
460674000000,374,460673000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
460873000000,375,460873000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
461073000000,376,461073000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
461273000000,377,461273000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
461473000000,378,461473000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
461673000000,379,461673000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
461873000000,380,461873000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
462073000000,381,462073000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
462274000000,382,462274000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
462473000000,383,462473000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
462673000000,384,462673000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
462873000000,385,462873000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
463073000000,386,463073000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
463273000000,387,463273000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
463473000000,388,463473000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
463673000000,389,463673000000,,450532000000,/move_base-1-450.532000000,1,This goal has been accepted by the simple action server
463732000000,390,463732000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
463874000000,391,463873000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
464073000000,392,464073000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
464273000000,393,464273000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
464473000000,394,464473000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
464673000000,395,464673000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
464873000000,396,464873000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
465074000000,397,465073000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
465273000000,398,465273000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
465473000000,399,465473000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
465673000000,400,465673000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
465876000000,401,465873000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
466074000000,402,466073000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
466273000000,403,466273000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
466473000000,404,466473000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
466673000000,405,466673000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
466873000000,406,466873000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
467073000000,407,467073000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
467273000000,408,467273000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
467473000000,409,467473000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
467673000000,410,467673000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
467874000000,411,467873000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
468073000000,412,468073000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
468273000000,413,468273000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
468473000000,414,468473000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
468673000000,415,468673000000,,450532000000,/move_base-1-450.532000000,3,Goal reached.
